,target,utterance
558,about_me_personally__today__Jose,who is her husband?
559,about_me_personally__today__Jose,is her husband japanese?
560,about_me_personally__today__Jose,Who is Jose?
561,about_me_personally__today__Jose,would she be willing to live in the arab world?
562,about_me_personally__today__Jose,Did he work at Kreditech?
563,about_me_personally__today__Jose,how many boyfriends has she had?
564,about_me_personally__today__Jose,has she planned on going back to spending some time in the arab world?
565,about_me_personally__today__Jose,Would she mind living in another city instead of Berin?
566,about_me_personally__today__Jose,Husband? Is she married?
567,about_me_personally__today__Jose,Is her husband rich?
568,about_me_personally__today__Jose,is rita familiar with tinder?
569,about_me_personally__today__Jose,How did she meet him?
570,about_me_personally__today__Jose,I her husband a genius?
571,about_me_personally__today__Jose,"I bet Jose is super ugly, but has a lot of money."
572,about_me_personally__today__Jose,Is her husband the CDO of heyjobs?
573,about_me_personally__today__Jose,Where does her husband work?
574,about_me_personally__today__Jose,I want to know more about they guy she married?
575,about_me_personally__today__Jose,is she married?
576,about_me_personally__today__Jose,has she ever been to heyjobs?
577,about_me_personally__today__Jose,does her husband work for heyjobs?
578,about_me_personally__today__Jose,Is Jose an old rich dude?
579,about_me_personally__today__Jose,Is Jose Spanish?
580,about_me_personally__today__Jose,"Jose is very smart, I know that"
581,about_me_personally__today__Jose,how well does jonathan know rita?
582,about_me_personally__today__Jose,Why does she always mention her husband?
583,about_me_personally__today__Jose,Is Rita single?
584,about_me_personally__today__Jose,is her husband still in Kreditech?
585,about_me_personally__today__Jose,Does she love her husband?
586,about_me_personally__today__Jose,Where does her husband come from?
587,about_me_personally__today__Jose,Is Rita married?
588,about_me_personally__today__Jose,"tell me more about Jose, her husband."
589,about_me_personally__today__Jose,Is Jose handsome?
590,about_me_personally__today__Jose,is rita's husband not the ex cdo of kreditech?
591,about_me_personally__today__Jose,who is that guy she married?
592,about_me_personally__today__Jose,What does her husband do?
593,about_me_personally__today__Jose,and she is married to whom?
594,about_me_personally__today__Jose,what was the name of the guy she married again?
595,about_me_personally__today__Jose,Is Jose Rita's husband?
596,about_me_personally__today__Jose,i want to know how she met her husband
597,about_me_personally__today__Jose,who is she married to?
598,about_me_personally__today__Jose,does rita have experience with dating apps?
599,about_me_personally__today__Jose,I her husband also from Madrid?
600,about_me_personally__today__hopes_and_dreams_for_the_future,is she an optimist or a pessimist?
601,about_me_personally__today__hopes_and_dreams_for_the_future,"if she could have three wishes granted, what would rita ask for?"
602,about_me_personally__today__hopes_and_dreams_for_the_future,would she wear a burka?
603,about_me_personally__today__hopes_and_dreams_for_the_future,"if she could choose the world we live in, what would she change?"
604,about_me_personally__today__hopes_and_dreams_for_the_future,is she a human rights activist?
605,about_me_personally__today__hopes_and_dreams_for_the_future,is she an activist for women's rights issues?
606,about_me_personally__today__hopes_and_dreams_for_the_future,rita seems very driven.
607,about_me_personally__today__hopes_and_dreams_for_the_future,would she wear a veil?
608,about_me_personally__today__hopes_and_dreams_for_the_future,does rita wish things were different.
609,about_me_personally__today__hopes_and_dreams_for_the_future,would she like to become a celebrity?
610,about_me_personally__today__hopes_and_dreams_for_the_future,what does rita think tomorrow has in store for us?
611,about_me_personally__today__hopes_and_dreams_for_the_future,is she planning on having children in the near future?
612,about_me_personally__today__hopes_and_dreams_for_the_future,how much does rita earn?
613,about_me_personally__today__hopes_and_dreams_for_the_future,what does she wish for the future?
614,about_me_personally__today__hopes_and_dreams_for_the_future,is she happy with how the world is going?
615,about_me_personally__today__hopes_and_dreams_for_the_future,does she want kids?
616,about_me_personally__today__hopes_and_dreams_for_the_future,does she want to beome and instagram celebrity?
617,about_me_personally__today__hopes_and_dreams_for_the_future,does she dream of becoming rich and famous one day?
618,about_me_personally__today__hopes_and_dreams_for_the_future,is she type of person that thinks everything is going out to turn out good?
619,about_me_personally__today__hopes_and_dreams_for_the_future,is she a dreamer?
620,about_me_personally__today__hopes_and_dreams_for_the_future,does rita believe a better world is possible?
621,about_me_personally__today__hopes_and_dreams_for_the_future,what does her future hold?
622,about_me_personally__today__hopes_and_dreams_for_the_future,does she want to become a mother?
623,about_me_personally__today__hopes_and_dreams_for_the_future,does she have her future all figured out already?
624,about_me_personally__today__hopes_and_dreams_for_the_future,what is important for rita?
625,about_me_personally__today__hopes_and_dreams_for_the_future,rita seems like the type of woman that's gonna go places.
626,about_me_personally__today__hopes_and_dreams_for_the_future,I think rita is very ambitious.
627,about_me_personally__today__hopes_and_dreams_for_the_future,what are her plans for the future?
628,about_me_personally__today__hopes_and_dreams_for_the_future,does she have an opinion on tinder?
629,about_me_personally__today__hopes_and_dreams_for_the_future,what are her aspirations?
630,about_me_personally__today__hopes_and_dreams_for_the_future,"I see, rita would like to live in a better world."
631,about_me_personally__today__hopes_and_dreams_for_the_future,how does rita think the future will look like?
632,about_me_personally__today__hopes_and_dreams_for_the_future,what does she secretely dream will one day happen?
633,about_me_personally__today__hopes_and_dreams_for_the_future,does rita dream of a better tomorrow?
634,about_me_personally__today__hopes_and_dreams_for_the_future,does she want to have children in the future?
635,about_me_personally__today__hopes_and_dreams_for_the_future,"if she could change one thing in this world, what would it be?"
636,about_me_personally__today__hopes_and_dreams_for_the_future,tell me something about the future?
637,about_me_personally__today__hopes_and_dreams_for_the_future,does she have a secret dream?
638,about_me_personally__today__hopes_and_dreams_for_the_future,how does the future look like?
639,about_me_personally__today__hopes_and_dreams_for_the_future,what does rita hope will happen in the future?
640,about_me_personally__today__hopes_and_dreams_for_the_future,would rita prefer to live in a different world?
641,about_me_personally__today__hopes_and_dreams_for_the_future,does she want to be a mother?
642,about_me_personally__today__hopes_and_dreams_for_the_future,does she have anything planned for her future?
643,about_me_personally__today__hopes_and_dreams_for_the_future,"I have read on her Linkedin article that she doesn't want to have children, is that true?"
644,about_me_personally__today__hopes_and_dreams_for_the_future,what are rita's hopes and dreams for the future?
645,about_me_personally__today__hopes_and_dreams_for_the_future,do you know if rita wants to change the world?
646,about_me_personally__today__hopes_and_dreams_for_the_future,does rita believe people change?
647,about_me_personally__today__hopes_and_dreams_for_the_future,I'm gonna save the world
648,about_me_personally__today__hopes_and_dreams_for_the_future,Is she optimistic about the future?
649,about_me_personally__today__hopes_and_dreams_for_the_future,does rita think she and jose will last together forever?
650,about_me_personally__today__hopes_and_dreams_for_the_future,Ho much does rita want to earn?
651,about_me_personally__today__hopes_and_dreams_for_the_future,will she want to go back to translating eventually?
652,about_me_personally__today__hopes_and_dreams_for_the_future,what does she think of dating apps?
653,about_me_personally__today__hopes_and_dreams_for_the_future,does she believe things change?
654,about_me_personally__today__hopes_and_dreams_for_the_future,how would rita's dream world look like?
655,about_me_personally__today__hopes_and_dreams_for_the_future,"if rita had the power to change the world, would she?"
656,about_me_personally__today__interests,What are Rita's hobbies?
657,about_me_personally__today__interests,would she like to live in the arab world in the future?
658,about_me_personally__today__interests,does rita like to dance?
659,about_me_personally__today__interests,are you a good foosball player?
660,about_me_personally__today__interests,What is her favorite programme on TV?
661,about_me_personally__today__interests,How old is rita?
662,about_me_personally__today__interests,I don't know how old Rita is.
663,about_me_personally__today__interests,what are her hobbies?
664,about_me_personally__today__interests,does she play video games?
665,about_me_personally__today__interests,what are her favourite Netflix series?
666,about_me_personally__today__interests,Does she watch TV?
667,about_me_personally__today__interests,does she like video games?
668,about_me_personally__today__interests,Are you a terrorist?
669,about_me_personally__today__interests,"tea or coffee, what's her deal?"
670,about_me_personally__today__interests,does rita have other engineer friends?
671,about_me_personally__today__interests,what does she like to drink?
672,about_me_personally__today__interests,can you offer me information on rita's private life?
673,about_me_personally__today__interests,does rita go out often?
674,about_me_personally__today__interests,does she watch a lot of TV?
675,about_me_personally__today__interests,does she play foosball
676,about_me_personally__today__interests,does rita attend sunday prayers?
677,about_me_personally__today__interests,I bet rita doesn't like to mingle with people.
678,about_me_personally__today__interests,Does she like to travel?
679,about_me_personally__today__interests,do you know rita?
680,about_me_personally__today__interests,what is rita's favorite sport?
681,about_me_personally__today__interests,does rita have many friends?
682,about_me_personally__today__interests,I bet rita is a stalker.
683,about_me_personally__today__interests,"In this job, travel is expected. Are you ok with that?"
684,about_me_personally__today__interests,and japanese?
685,about_me_personally__today__interests,does she like to read literature translated into Spanish?
686,about_me_personally__today__interests,is she into pda?
687,about_me_personally__today__interests,what again was rita's age?
688,about_me_personally__today__interests,could you tell me her age?
689,about_me_personally__today__interests,who are rita's friends?
690,about_me_personally__today__interests,does rita like ice cream?
691,about_me_personally__today__interests,what is rita's private life like?
692,about_me_personally__today__interests,Does she like to go to music concerts?
693,about_me_personally__today__interests,is rita underage?
694,about_me_personally__today__interests,how old is rita?
695,about_me_personally__today__interests,is rita a princess?
696,about_me_personally__today__interests,"what are ritas's favorite activities. God, is this tedious"
697,about_me_personally__today__interests,Is rita a terrorist?
698,about_me_personally__today__interests,does rita like to stay at home?
699,about_me_personally__today__interests,"snapchat or facebook, what would rita choose?"
700,about_me_personally__today__interests,what are her interests?
701,about_me_personally__today__interests,does rita sing?
702,about_me_personally__today__interests,does rita do drugs?
703,about_me_personally__today__interests,does rita play sports?
704,about_me_personally__today__interests,What are her favorite outdoor activities?
705,about_me_personally__today__interests,does she do the laundry in her house?
706,about_me_personally__today__interests,does rita have a fancy taste?
707,about_me_personally__today__interests,what does rita do in her free time?
708,about_me_personally__today__interests,what does she do on her free time
709,about_me_personally__today__interests,what does rita enjoy doing most?
710,about_me_personally__today__interests,is she in love with her husband?
711,about_me_personally__today__interests,how old was she?
712,about_me_personally__today__interests,does rita like to spend time with her husband?
713,about_me_personally__today__interests,does she read books translated into other languages?
714,about_me_personally__today__interests,what does she do on the weekends?
715,about_me_personally__today__interests,how old is she?
716,about_me_personally__today__opinion_computer_systems,should humans always come first?
717,about_me_personally__today__opinion_computer_systems,does she believe with can solve the world's problems with technology?
718,about_me_personally__today__opinion_computer_systems,does she like technology?
719,about_me_personally__today__opinion_computer_systems,does rita believe in machine learning?
720,about_me_personally__today__opinion_computer_systems,"Rita, when can we expect a better version of this bot?"
721,about_me_personally__today__opinion_computer_systems,does rita believe computers are going to take over in the future?
722,about_me_personally__today__opinion_computer_systems,is technology gonna solve anything?
723,about_me_personally__today__opinion_computer_systems,does rita think computers make as happy?
724,about_me_personally__today__opinion_computer_systems,"don't tell me, rita is the biggest nerd in the whole planet."
725,about_me_personally__today__opinion_computer_systems,does rita think computers are the solution to all our problems?
726,about_me_personally__today__opinion_computer_systems,is she analytical?
727,about_me_personally__today__opinion_computer_systems,rita seems to like computers more than people.
728,about_me_personally__today__opinion_computer_systems,What are you to Rita?
729,about_me_personally__today__opinion_computer_systems,does rita think technology is the solution?
730,about_me_personally__today__opinion_computer_systems,Are you Rita's representative?
731,about_me_personally__today__opinion_computer_systems,does she think machines are going to take over?
732,about_me_personally__today__opinion_computer_systems,does she think voice recognition systems and other such technologies are going to provide humans with a better quality of life?
733,about_me_personally__today__opinion_computer_systems,Does Rita know you talk on her behalf?
734,about_me_personally__today__opinion_computer_systems,I guess she is a complete nerd.
735,about_me_personally__today__opinion_computer_systems,is she friends with alexa?
736,about_me_personally__today__opinion_computer_systems,do you want to kill the human race?
737,about_me_personally__today__opinion_computer_systems,are you optimistic about the future?
738,about_me_personally__today__opinion_computer_systems,would rita say the future looks better thanks to computers
739,about_me_personally__today__opinion_computer_systems,are computers the solution to all our problems?
740,about_me_personally__today__opinion_computer_systems,does she have an alexa at home?
741,about_me_personally__today__opinion_computer_systems,is she a great defender of a technological future?
742,about_me_personally__today__opinion_computer_systems,is she an advocate of technology?
743,about_me_personally__today__opinion_computer_systems,does she think technology improves our life?
744,about_me_personally__today__opinion_computer_systems,does rita love you?
745,about_me_personally__today__opinion_computer_systems,are you the future?
746,about_me_personally__today__opinion_computer_systems,does she believe technology is a good thing for our future societies?
747,about_me_personally__today__opinion_computer_systems,is she a geek?
748,about_me_personally__today__opinion_computer_systems," The media, the machine, not only reflect reality, they create it. This represents an etco emperor for you?"
749,about_me_personally__today__opinion_computer_systems,does she think in analytical terms?
750,about_me_personally__today__opinion_computer_systems,take over the world.
751,about_me_personally__today__opinion_computer_systems,is she a nerd?
752,about_me_personally__today__opinion_computer_systems,does rita think machine learning is ethical?
753,about_me_personally__today__opinion_computer_systems,is rita aprehensive about what lies ahead?
754,about_me_personally__today__opinion_computer_systems,does rita think ml is beneficial for society?
755,about_me_personally__today__opinion_computer_systems,is she a huge techy?
756,about_me_personally__today__opinion_computer_systems,does rita believe the world is going to end as we know it because of the advances in technology?
757,about_me_personally__today__opinion_computer_systems,what does she think about what lies ahead of us as human societies?
758,about_me_personally__today__opinion_computer_systems,does rita think machine learning is progressive thinking?
759,about_me_personally__today__opinion_computer_systems,"rita is a geek at heart, it's easy to see."
760,about_me_personally__today__opinion_computer_systems,does she advocate for a future without computers?
761,about_me_personally__today__opinion_computer_systems,do you represent our future?
762,about_me_personally__today__opinion_computer_systems,are we an endangered species?
763,about_me_personally__today__opinion_computer_systems,do you speak on rita's behalf?
764,about_me_personally__today__opinion_computer_systems,does rita like computers?
765,about_me_personally__today__opinion_computer_systems,i bet she has alexa at her place.
766,about_me_personally__today__opinion_computer_systems,how big of a geek is rita?
767,about_me_personally__today__opinion_computer_systems,does she think alexa is going to improve human's mutual understanding?
768,about_me_personally__today__opinion_computer_systems,would rita prefer a future without machine learning?
769,about_me_personally__today__opinion_languages,why would anyone want to learn different languages?
770,about_me_personally__today__opinion_languages,why do people like to learn new languages?
771,about_me_personally__today__opinion_languages,is rita afraid of telling us the whole truth?
772,about_me_personally__today__opinion_languages,is rita crazy?
773,about_me_personally__today__opinion_languages,you are scaring me.
774,about_me_personally__today__opinion_languages,"what is, in rita's opinion, the most dangeroud thing about the new era?"
775,about_me_personally__today__opinion_languages,is rita scared of what people may ask her face to face?
776,about_me_personally__today__opinion_languages,what are you most afraid of?
777,about_me_personally__today__opinion_languages,does she think spyders are dangerous animals?
778,about_me_personally__today__opinion_languages,linguistics is a career that makes no sense
779,about_me_personally__today__opinion_languages,learning languages is stupid
780,about_me_personally__today__opinion_languages,are you talking about people's expectations?
781,about_me_personally__today__opinion_languages,is she afraid of the dark?
782,about_me_personally__today__opinion_languages,what are languages used for?
783,about_me_personally__today__opinion_languages,I don't understand why anyone would want to devote their time to learning a new language.
784,about_me_personally__today__opinion_languages,is she a more allegorical or literal person?
785,about_me_personally__today__opinion_languages,what is rita's biggest fear?
786,about_me_personally__today__opinion_languages,that's fucking scary!
787,about_me_personally__today__opinion_languages,why whould anyone want to study linguistics?
788,about_me_personally__today__opinion_languages,why is she always talking about languages?
789,about_me_personally__today__opinion_languages,I just wanted to know if rita is the kind of woman that gets intimidated by intelligent men.
790,about_me_personally__today__opinion_languages,how brave is rita?
791,about_me_personally__today__opinion_languages,does rita think languages protect us?
792,about_me_personally__today__opinion_languages,what is the thing that scares her the most?
793,about_me_personally__today__opinion_languages,is she on the defensive?
794,about_me_personally__today__opinion_languages,To fall into the pit of the past and not face fear is to repeat the belief in destiny located in the body
795,about_me_personally__today__opinion_languages,is doesn't make any sense to study linguistics.
796,about_me_personally__today__opinion_languages,is she a warrior?
797,about_me_personally__today__opinion_languages,do people who speak many different language have an advantage over those who don't?
798,about_me_personally__today__opinion_languages,does rita scare easily?
799,about_me_personally__today__opinion_languages,are languages not a defence mechanism of sorts?
800,about_me_personally__today__opinion_languages,does she apply her language skills in her professional life today?
801,about_me_personally__today__opinion_languages,does she easily get scared?
802,about_me_personally__today__opinion_languages,is there anything that scares you about the future?
803,about_me_personally__today__opinion_languages,does she not dare tell us the truth?
804,about_me_personally__today__opinion_languages,that is scary.
805,about_me_personally__today__opinion_languages,is rita brave?
806,about_me_personally__today__opinion_languages,does the knowledge she has acquired at university help her in any way?
807,about_me_personally__today__opinion_languages,does she use arabic in her everyday life?
808,about_me_personally__today__opinion_languages,what is she afraid of?
809,about_me_personally__today__opinion_languages,can she apply her knowledge of languages and translation to her work as an nlp-engineer?
810,about_me_personally__today__opinion_languages,how has her knowledge of arabic helped her professionally?
811,about_me_personally__today__opinion_languages,Learning languages is purposeless.
812,about_me_personally__today__opinion_languages,is she into horror movies?
813,about_me_personally__today__opinion_languages,I am afraid.
814,about_me_personally__today__opinion_languages,does rita think the future is scary?
815,about_me_personally__today__opinion_languages,how does she apply the knowledge she has of how languages work nowadays?
816,about_me_personally__today__opinion_languages,I wouldn't have studied linguistics in the first place. 
817,about_me_personally__today__opinion_languages,does she like scary movies?
818,about_me_personally__today__opinion_languages,does she think people who speak english understand reality better?
819,about_me_personally__today__opinion_languages,"it makes zero sense to learn a new language, if you ask me."
820,about_me_personally__today__opinion_languages,does she consider herself a brave woman?
821,about_me_personally__today__opinion_languages,does it make any sense to study a career like linguistics?
822,about_me_personally__today__opinion_languages,What is she afraid of?
823,about_me_personally__today__opinion_languages,"IN REALITY IS IT SPEAKED FOR THE EPHEMERAL, THE WEAK OF THE FLESH?"
824,about_me_personally__today__opinion_languages,is she brave?
825,about_me_personally__today__opinion_society,does rita take care of the environment?
826,about_me_personally__today__opinion_society,can you please tell me something about rita's private life?
827,about_me_personally__today__opinion_society,does she eat meat?
828,about_me_personally__today__opinion_society,does she go to a lot of events in Berlin?
829,about_me_personally__today__opinion_society,does she recycle?
830,about_me_personally__today__opinion_society,is rita enviromentally friendly?
831,about_me_personally__today__opinion_society,does rita like going to coffee shops?
832,about_me_personally__today__opinion_society,is rita alive?
833,about_me_personally__today__opinion_society,do you eat beans?
834,about_me_personally__today__opinion_society,does she fuck strangers she meets online?
835,about_me_personally__today__opinion_society,is rita a good person?
836,about_me_personally__today__opinion_society,what is her favorite food?
837,about_me_personally__today__opinion_society,where does rita usually hang out in Berlin?
838,about_me_personally__today__opinion_society,does she do laundry in her house?
839,about_me_personally__today__opinion_society,does rita like merkel?
840,about_me_personally__today__opinion_society,where does rita live at the moment?
841,about_me_personally__today__opinion_society,where does rita live?
842,about_me_personally__today__opinion_society,is rita also famous?
843,about_me_personally__today__opinion_society,what are her political views?
844,about_me_personally__today__opinion_society,does she like to play video games?
845,about_me_personally__today__opinion_society,did rita vote for merkel?
846,about_me_personally__today__opinion_society,what is Berlin like?
847,about_me_personally__today__opinion_society,does she have a moral compass?
848,about_me_personally__today__opinion_society,how is life in Berlin?
849,about_me_personally__today__opinion_society,does rita pay taxes in Spain or in Germany?
850,about_me_personally__today__opinion_society,is she politically active?
851,about_me_personally__today__opinion_society,does rita live with her partner?
852,about_me_personally__today__opinion_society,is rita a religious person?
853,about_me_personally__today__opinion_society,what does she believe in?
854,about_me_personally__today__opinion_society,does rita have a special spot in berlin?
855,about_me_personally__today__opinion_society,does she follow a code of conduct?
856,about_me_personally__today__opinion_society,what does Rita think about vegans?
857,about_me_personally__today__opinion_society,which is her favorite neighborhood in berlin?
858,about_me_personally__today__opinion_society,does she try to be an ethical person?
859,about_me_personally__today__opinion_society,does she believe we should all be considered equal in front of the law?
860,about_me_personally__today__opinion_society,does she follow any type of religion?
861,about_me_personally__today__opinion_society,is she a believer?
862,about_me_personally__today__opinion_society,how would she rate the German education system?
863,about_me_personally__today__opinion_society,what are rita's favorite hangout places in Berlin?
864,about_me_personally__today__opinion_society,is she currently in Spain or in Germany?
865,about_me_personally__today__opinion_society,does she have an opinion on politics?
866,about_me_personally__today__opinion_society,what are her beliefs?
867,about_me_personally__today__opinion_society,what does rita do to explore the city?
868,about_me_personally__today__opinion_society,is rita vegan?
869,about_me_personally__today__opinion_society,does she vote?
870,about_me_personally__today__opinion_society,does rita like video games?
871,about_me_personally__today__opinion_society,does rita play tennis?
872,about_me_personally__today__opinion_society,does she recognise the lord?
873,about_me_personally__today__opinion_society,is she a God fearing person?
874,about_me_personally__today__opinion_society,does she believe in god?
875,about_me_personally__today__opinion_society,does she have something to say about how things are handled in the world?
876,about_me_personally__today__opinion_society,is she a server of the lord?
877,about_me_personally__today__opinion_women_in_ML,is she of the opinion that there aren't enough women in data science?
878,about_me_personally__today__opinion_women_in_ML,do we have to promote women's access to science?
879,about_me_personally__today__opinion_women_in_ML,does the ML discipline allow women to participate in society?
880,about_me_personally__today__opinion_women_in_ML,does she think the industry is women-friendly?
881,about_me_personally__today__opinion_women_in_ML,"is ML good for society, specially women?"
882,about_me_personally__today__opinion_women_in_ML,does she know of many women in the field?
883,about_me_personally__today__opinion_women_in_ML,what do women do better than men?
884,about_me_personally__today__opinion_women_in_ML,at what are women better than men?
885,about_me_personally__today__opinion_women_in_ML,are there many women practicing NLP?
886,about_me_personally__today__opinion_women_in_ML,what advantages does she think she has as a woman?
887,about_me_personally__today__opinion_women_in_ML,does she think women have priviledges men don't have?
888,about_me_personally__today__opinion_women_in_ML,does she identify as a woman?
889,about_me_personally__today__opinion_women_in_ML,does she think this new field she has entered offers enough opportunities for women?
890,about_me_personally__today__opinion_women_in_ML,are you from venus or from mars?
891,about_me_personally__today__opinion_women_in_ML,is rita a member of the guild?
892,about_me_personally__today__opinion_women_in_ML,do women have an advantage over men in a company's hiring process?
893,about_me_personally__today__opinion_women_in_ML,does she know a lot of other women working as data scientists?
894,about_me_personally__today__opinion_women_in_ML,how many data scientists women does she know?
895,about_me_personally__today__opinion_women_in_ML,are women mysterious beings?
896,about_me_personally__today__opinion_women_in_ML,I don't think women should study to become machine learning engineers
897,about_me_personally__today__opinion_women_in_ML,how many women work as data scientists?
898,about_me_personally__today__opinion_women_in_ML,are women more sensitive creatures?
899,about_me_personally__today__opinion_women_in_ML,how many other women does rita know of in the field?
900,about_me_personally__today__opinion_women_in_ML,does rita think more women need to become data scientists?
901,about_me_personally__today__opinion_women_in_ML,how different are women to men really?
902,about_me_personally__today__opinion_women_in_ML,does she think women have it better in the field of ML?
903,about_me_personally__today__opinion_women_in_ML,"should there be, in rita's opinion, more women joining the industry?"
904,about_me_personally__today__opinion_women_in_ML,does she believe women are a minority in the field of data science?
905,about_me_personally__today__opinion_women_in_ML,what does rita think about the ML meetups in Berlin?
906,about_me_personally__today__opinion_women_in_ML,"as a woman, how welcome does she feel among engineers?"
907,about_me_personally__today__opinion_women_in_ML,can rita relate to other women in the field?
908,about_me_personally__today__opinion_women_in_ML,does she know how lucky she is to be a female developer?
909,about_me_personally__today__opinion_women_in_ML,does she have a beard?
910,about_me_personally__today__opinion_women_in_ML,"as the woman she is, does rita think enough opportunities are being offered to women?"
911,about_me_personally__today__opinion_women_in_ML,does rita think women can be good programmers?
912,about_me_personally__today__opinion_women_in_ML,can a woman be a good data science
913,about_me_personally__today__opinion_women_in_ML,does data science improve a woman's chances of entering the workforce?
914,about_me_personally__today__opinion_women_in_ML,does machine learning help women acquire more visibility?
915,about_me_personally__today__opinion_women_in_ML,does she think men have priviledges women don't have?
916,about_me_personally__today__opinion_women_in_ML,are women better engineers than men?
917,about_me_personally__today__opinion_women_in_ML,do women have it better than men in the field of data science?
918,about_me_personally__today__opinion_women_in_ML,are women different to men from a biological standpoint?
919,about_me_personally__today__opinion_women_in_ML,are women supposed to be understood by men?
920,about_me_personally__today__opinion_women_in_ML,does she think women are worse than men with numbers?
921,about_me_personally__today__opinion_women_in_ML,she is super lucky to be a female engineer.
922,about_me_personally__today__opinion_women_in_ML,women are horrible developers.
923,about_me_personally__today__opinion_women_in_ML,should more women study programming?
924,about_me_personally__today__opinion_women_in_ML,is data science for women as well?
925,about_me_personally__today__physical_appearance,I bet Rita's hot.
926,about_me_personally__today__physical_appearance,is rita fat?
927,about_me_personally__today__physical_appearance,what makes rita a good person?
928,about_me_personally__today__physical_appearance,does rita have a fashion sense?
929,about_me_personally__today__physical_appearance,How tall is rita?
930,about_me_personally__today__physical_appearance,Is Rita pretty?
931,about_me_personally__today__physical_appearance,what is rita's best feature?
932,about_me_personally__today__physical_appearance,does rita have a penis?
933,about_me_personally__today__physical_appearance,is rita's nose crooked?
934,about_me_personally__today__physical_appearance,is rita short or tall?
935,about_me_personally__today__physical_appearance,is she a logical thinker?
936,about_me_personally__today__physical_appearance,is she a genius?
937,about_me_personally__today__physical_appearance,how fuckable is rita?
938,about_me_personally__today__physical_appearance,I would like to know more about rita?
939,about_me_personally__today__physical_appearance,"rita is gross, that's why she hides behind you."
940,about_me_personally__today__physical_appearance,what do you know about rita?
941,about_me_personally__today__physical_appearance,is rita blond?
942,about_me_personally__today__physical_appearance,who is behind this project?
943,about_me_personally__today__physical_appearance,how does rita describe herself?
944,about_me_personally__today__physical_appearance,how different is rita do the rest of the people she knows?
945,about_me_personally__today__physical_appearance,how much money does rita have?
946,about_me_personally__today__physical_appearance,who is rita?
947,about_me_personally__today__physical_appearance,Does rita look like the girl from her profile picture?
948,about_me_personally__today__physical_appearance,is she blonde?
949,about_me_personally__today__physical_appearance,Is Rita mad?
950,about_me_personally__today__physical_appearance,is rita fun?
951,about_me_personally__today__physical_appearance,Who is this Rita
952,about_me_personally__today__physical_appearance,is she famous?
953,about_me_personally__today__physical_appearance,is rita a guy?
954,about_me_personally__today__physical_appearance,is rita rich?
955,about_me_personally__today__physical_appearance,does rita have a vagina?
956,about_me_personally__today__physical_appearance,how do you know you are blond then?
957,about_me_personally__today__physical_appearance,was she pretty as a kid?
958,about_me_personally__today__physical_appearance,I want to know more about rita.
959,about_me_personally__today__physical_appearance,do you think rita is a creative individual?
960,about_me_personally__today__physical_appearance,how smart is rita?
961,about_me_personally__today__physical_appearance,is rita black?
962,about_me_personally__today__physical_appearance,how pretty is rita?
963,about_me_personally__today__physical_appearance,is rita pretty?
964,about_me_personally__today__physical_appearance,what are rita's waist measurements?
965,about_me_personally__today__physical_appearance,is she pretty?
966,about_me_personally__today__physical_appearance,is she the tallest in her family?
967,about_me_personally__today__physical_appearance,how would she describe herself in three words?
968,about_me_personally__today__physical_appearance,"From 1 to 10, how would you rate Rita?"
969,about_me_personally__today__physical_appearance,how well do you know rita?
970,about_me_personally__today__physical_appearance,who is she?
971,about_me_personally__today__physical_appearance,what are rita's best features?
972,about_me_personally__today__physical_appearance,Is rita as nice-looking as in the photo of her profile picture?
973,about_me_personally__today__physical_appearance,"rita doesn't seem to be lacking imagination, that's for sure."
974,about_my_work__as_data_person__NLP,I would like to know more about rita's experience in NLP.
975,about_my_work__as_data_person__NLP,is she confident in her abilities as an NLP engineer?
976,about_my_work__as_data_person__NLP,what does rita do?
977,about_my_work__as_data_person__NLP,Why did she leave her previous company after so little time?
978,about_my_work__as_data_person__NLP,is she only interested in nlp positions? 
979,about_my_work__as_data_person__NLP,was she ever let go off?
980,about_my_work__as_data_person__NLP,is rita famous as an nlp engineer?
981,about_my_work__as_data_person__NLP,Have you worked before as a data scientist?
982,about_my_work__as_data_person__NLP,nlp?
983,about_my_work__as_data_person__NLP,do you know what you'll be doing in a couple of years?
984,about_my_work__as_data_person__NLP,I want to know about your professional experience?
985,about_my_work__as_data_person__NLP,would she recommend Twyla to other job seekers?
986,about_my_work__as_data_person__NLP,has rita worked for an NLP company before?
987,about_my_work__as_data_person__NLP,how early could rita start?
988,about_my_work__as_data_person__NLP,is rita a good analyst?
989,about_my_work__as_data_person__NLP,what type of position is rita looking to fill next?
990,about_my_work__as_data_person__NLP,what's the plan for the next years?
991,about_my_work__as_data_person__NLP,What can you tell me about Rita's professional experience?
992,about_my_work__as_data_person__NLP,where did rita go after twyla?
993,about_my_work__as_data_person__NLP,why did she last so little in her previous position?
994,about_my_work__as_data_person__NLP,is rita a ML engineer?
995,about_my_work__as_data_person__NLP,was the work environment at parlamind pleasant according to rita? 
996,about_my_work__as_data_person__NLP,does rita want to continue working as an NLP engineer?
997,about_my_work__as_data_person__NLP,does she have experience as an nlp engineer?
998,about_my_work__as_data_person__NLP,will rita prove of value to us
999,about_my_work__as_data_person__NLP,Where did Rita work last?
1000,about_my_work__as_data_person__NLP,What relevant work experience do you have
1001,about_my_work__as_data_person__NLP,twyla?
1002,about_my_work__as_data_person__NLP,What is your earliest starting date?
